acronym,volume,edition_date,shelf_number,country,dates,pages,id,source_name,source_author,source_URL,notes,reference,type,notes
ACE-3,4,,BNF: LC5-138 (EL),Italie (Etats Romains),,,Annales du commerce extérieur. Italie ( Etats Romains). Faits commerciaux n°4. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,5,,BNF: LC5-138 (EL),Italie (Etats Romains),,,Annales du commerce extérieur. Italie ( Etats Romains). Faits commerciaux n°5. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (EL),Italie (Etats Romains),,,Annales du commerce extérieur. Italie ( Etats Romains). Faits commerciaux n°8. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (EL),Italie (Toscane),,,Annales du commerce extérieur. Italie ( Toscane). Faits commerciaux n° 1. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,,BNF: LC5-138 (EL),Italie (Toscane),,,Annales du commerce extérieur. Italie ( Toscane). Faits commerciaux n° 2. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (EL),Italie (Toscane),,,Annales du commerce extérieur. Italie ( Toscane). Faits commerciaux n° 4. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (EL),Italie (Toscane),,,Annales du commerce extérieur. Italie ( Toscane). Faits commerciaux n° 6. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (EL),Italie (Toscane),,,Annales du commerce extérieur. Italie ( Toscane). Faits commerciaux n°10. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (EL),Italie (Toscane),,,Annales du commerce extérieur. Italie ( Toscane). Faits commerciaux n°7. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (EL),Italie (Toscane),,,Annales du commerce extérieur. Italie ( Toscane). Faits commerciaux n°9. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (EL),Italie (Deux-Siciles),,,Annales du commerce extérieur. Italie (Deux Siciles). Faits commerciaux n°1. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (EL),Italie (Deux-Siciles),,,Annales du commerce extérieur. Italie (Deux Siciles). Faits commerciaux n°3. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (EL),Italie (Deux-Siciles),,,Annales du commerce extérieur. Italie (Deux Siciles). Faits commerciaux n°4. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,5,,BNF: LC5-138 (EL),Italie (Deux-Siciles),,,Annales du commerce extérieur. Italie (Deux Siciles). Faits commerciaux n°5. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (EL),Italie (Deux-Siciles),,,Annales du commerce extérieur. Italie (Deux Siciles). Faits commerciaux n°6. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (EL),Italie,,,Annales du commerce extérieur. Italie. Faits commerciaux n° 10. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,11,,BNF: LC5-138 (EL),Italie,,,Annales du commerce extérieur. Italie. Faits commerciaux n° 11. BNF : LC5-138 (El),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (EL),Italie (Etats Sardes),,,Annales du commerce extérieur. Italie. Faits commerciaux n° 7. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (EL),Italie,,,Annales du commerce extérieur. Italie. Faits commerciaux n° 8. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (EL),Italie (Etats Sardes),,,Annales du commerce extérieur. Italie. Faits commerciaux n° 9. BNF : LC5-138 (El).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (EL),Italie,,,"Annales du commerce extérieur. Italie. Faits commerciaux, n° 13. BNF : LC5-138 (El)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,19,,BNF: LC5-138 (EL),Italie,,,"Annales du commerce extérieur. Italie. Faits commerciaux, n° 19. BNF : LC5-138 (El)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,,BNF: LC5-138 (EL),Italie,,,"Annales du commerce extérieur. Italie. Faits commerciaux, n° 2. BNF : LC5-138 (El)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,20,,BNF: LC5-138 (EL),Italie,,,"Annales du commerce extérieur. Italie. Faits commerciaux, n° 20. BNF : LC5-138 (El)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,21,,BNF: LC5-138 (EL),Italie,,,"Annales du commerce extérieur. Italie. Faits commerciaux, n° 21. BNF : LC5-138 (El)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (EL),Italie,,,"Annales du commerce extérieur. Italie. Faits commerciaux, n° 6. BNF : LC5-138 (El)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,11,,BNF: LC5-138 (CS),La Plata,,,"Annales du commerce extérieur. La Plata. Faits commerciaux, n° 11. BNF : LC5-138 (Cs)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (CS),La Plata,,,"Annales du commerce extérieur. La Plata. Faits commerciaux, n° 9. BNF : LC5-138 (Cs)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (CU),Malte,,,Annales du commerce extérieur. Malte. Faits commerciaux n° 4.  BNF : LC5-138 (CU).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (CU),Malte,4/1/1872,,"Annales du commerce extérieur. Malte. Faits commerciaux, n° 3.  (avril 1872).  BNF : LC5-138 (CU)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (CY),Mexique,,,Annales du commerce extérieur. Mexique. Faits commerciaux n° 4.  BNF : LC5-138 (CY).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,5,,BNF: LC5-138 (CY),Mexique,,,Annales du commerce extérieur. Mexique. Faits commerciaux n° 5.  BNF : LC5-138 (CY).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (CY),Mexique,,,Annales du commerce extérieur. Mexique. Faits commerciaux n° 8.  BNF : LC5-138 (CY).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (CY),Mexique,,,"Annales du commerce extérieur. Mexique. Faits commerciaux, n° 9. BNF : LC5-138 (Cy)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (AD),Nouvelle-Grenade,,,Annales du commerce extérieur. Nouvelle-Grenade. Faits commerciaux n° 4. BNF : LC5-138 (AD).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (AD),Nouvelle-Grenade,,,"Annales du commerce extérieur. Nouvelle-Grenade. Faits commerciaux, n° 1. BNF : LC5-138 (AD)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (AD),Nouvelle-Grenade,,,"Annales du commerce extérieur. Nouvelle-Grenade. Faits commerciaux, n° 10. BNF : LC5-138 (AD)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,,BNF: LC5-138 (AD),Nouvelle-Grenade,,,"Annales du commerce extérieur. Nouvelle-Grenade. Faits commerciaux, n° 2. BNF : LC5-138 (AD)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (AD),Nouvelle-Grenade,,,"Annales du commerce extérieur. Nouvelle-Grenade. Faits commerciaux, n° 7. BNF : LC5-138 (AD)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (AD),Nouvelle-Grenade,,,"Annales du commerce extérieur. Nouvelle-Grenade. Faits commerciaux, n° 9. BNF : LC5-138 (AD)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (DB),Océanie et Australie,,,Annales du commerce extérieur. Océanie et Australie. Faits commerciaux n° 13. BNF : LC5-138 (DB),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,14,,BNF: LC5-138 (DB),Océanie et Australie,,,Annales du commerce extérieur. Océanie et Australie. Faits commerciaux n° 14. BNF : LC5-138 (DB),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,15,,BNF: LC5-138 (DB),Océanie et Australie,,,Annales du commerce extérieur. Océanie et Australie. Faits commerciaux n° 15. BNF : LC5-138 (DB),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,20,,BNF: LC5-138 (DB),Océanie et Australie,,,Annales du commerce extérieur. Océanie et Australie. Faits commerciaux n° 20. BNF : LC5-138 (DB),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,21,,BNF: LC5-138 (DB),Océanie et Australie,,,Annales du commerce extérieur. Océanie et Australie. Faits commerciaux n° 21. BNF : LC5-138 (DB),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,5,,BNF: LC5-138 (DB),Océanie et Australie,,,Annales du commerce extérieur. Océanie et Australie. Faits commerciaux n° 5.  BNF : LC5-138 (DB).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (DB),Océanie et Australie,,,Annales du commerce extérieur. Océanie et Australie. Faits commerciaux n° 7. BNF : LC5-138 (DB),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (DB),Océanie et Australie,,,Annales du commerce extérieur. Océanie et Australie. Faits commerciaux n° 9. BNF : LC5-138 (DB),Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,14,,BNF: LC5-138 (DG),Pérou,,,"Annales du commerce extérieur. Pérou. Faits commerciaux, n° 14. BNF : LC5-138 (DG) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 1. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 10. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,11,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 11. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,12,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 12. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 13. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,14,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 14. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 2. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 7. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,8,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 8. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n° 9. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n°3. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (DI),Portugal,,,"Annales du commerce extérieur. Portugal. Faits commerciaux, n°4. BNF : LC5-138 (Di) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 1.  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,11,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 11 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,12,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 12 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,13,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 13 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,15,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 15 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 2 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 3 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,4,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 4 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,6,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 6 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,7,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 7 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,9,,BNF: LC5-138 (DJ),Principautés danubiennes,,,Annales du commerce extérieur. Principautés danubiennes. Faits commerciaux n° 9 .  BNF : LC5-138 (DJ).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,,BNF: LC5-138  (DL),République Dominicaine,,,Annales du commerce extérieur. République dominicaine. Faits commerciaux n° 2.  BNF : LC5-138 (DL).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138  (DL),République Dominicaine,,,"Annales du commerce extérieur. République Dominicaine. Faits commerciaux, n° 1. BNF : LC5-138  (DL)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (EBA),Roumanie,,,"Annales du commerce extérieur. Roumanie Faits commerciaux, n° 1. BNF : LC5-138 (EBA)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,1,,BNF: LC5-138 (EBA),Roumanie,,,"Annales du commerce extérieur. Roumanie. Faits commerciaux, n° 1. BNF : LC5-138 (EBA)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,2,,BNF: LC5-138 (EBA),Roumanie,,,"Annales du commerce extérieur. Roumanie. Faits commerciaux, n° 2. BNF : LC5-138 (EBA)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (EBA),Roumanie,,,"Annales du commerce extérieur. Roumanie. Faits commerciaux, n° 3. BNF : LC5-138 (EBA)",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,26,,BNF: LC5-138 (DN),Russie,,,Annales du commerce extérieur. Russie. Faits commerciaux n° 26. BNF : LC5-138 (DN).,Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,10,,BNF: LC5-138 (DN),Russie,,,"Annales du commerce extérieur. Russie. Faits commerciaux, n° 10. BNF : LC5-138 (DN) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,23,,BNF: LC5-138 (DN),Russie,,,"Annales du commerce extérieur. Russie. Faits commerciaux, n° 23. BNF : LC5-138 (DN) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,25,,BNF: LC5-138 (DN),Russie,,,"Annales du commerce extérieur. Russie. Faits commerciaux, n° 25 BNF : LC5-138 (DN) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
ACE-3,3,,BNF: LC5-138 (DN),Russie,,,"Annales du commerce extérieur. Russie. Faits commerciaux, n° 3. BNF : LC5-138 (DN) .",Annales du commerce extérieur. Faits commerciaux. 3e série Avis divers,"Ministère de l'Agriculture, du Commerce et des Travaux Publics",,,Annales Commerce Extérieur-Serie 3,secondary,
